categoria,tema,promessa,resumo,textoEvidencia,linkPromessa,status,textoLightbox,leiaMais,id
educacao-e-cultura,Educação e cultura,Ampliar a oferta de vagas em creche,"Atualmente a rede municipal de ensino de Aracaju conta com 46 unidades que ofertam educação infantil. Destas, 23 oferecem serviços de creche com a disponilização de 2.911 vagas em 2020.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A oferta de vagas nas creches ainda não foi ampliada. Porém, a prefeitura informou que está construindo uma nova escola municipal de educação infantil no bairro Santa Maria. A unidade poderá atender até 300 crianças, sendo 108 delas em creche. A prefeitura diz que uma escola municipal de educação infantil no Conjunto Augusto Franco, no Bairro Farolândia, será entregue no primeiro semestre de 2022. A gestão diz que a escola deve ofertar 300 vagas para crianças de 0 a 5 anos, sendo 108 delas destinadas para creches. A previsão de entrega da obra para a comunidade é em abril de 2022.",,11
educacao-e-cultura,Educação e cultura,Implantar a educação integral na rede municipal de ensino,"Ampliar o horário de acesso dos alunos aos estudos. Atualmente, Aracaju ainda não tem escola de tempo integral.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"Ainda não há educação integral na rede municipal de ensino de Aracaju. A prefeitura afirma que está construindo uma nova escola de ensino fundamental no bairro Santa Maria e que essa unidade será a primeira em tempo integral da rede municipal. Com um investimento de mais de R$ 3 milhões, a escola deve atender 300 crianças, sendo 108 delas em creche.",,12
educacao-e-cultura,Educação e cultura,Realizar editais para produção literária,Ampliar a produção literária por meio da criação de editais.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"No primeiro ano do mandato, em 2021, foram lançados dois editais de produção literária por meio da Fundação Cultural Cidade de Aracaju (Funcaju), com recursos da Lei Aldir Blanc. O primeiro foi lançado dentro do Janelas para as Artes, englobando diversas linguagens e contemplando 14 escritores. O segundo edital, mais específico, foi voltado para a literatura jovem e resultou na Coleção Literarte. Realizado com recursos remanescentes da Lei Aldir Blanc, a iniciativa teve como finalidade contemplar sete projetos para publicação de livros voltados ao público jovem. Foram selecionados três escritores.",https://www.aracaju.se.gov.br/noticias/93067/funcaju_divulga_lista_preliminar_dos_selecionados_para_a_colecao_literarte.html,13
educacao-e-cultura,Educação e cultura,Criar uma feira semanal de antiguidades e artesanatos locais na Praça General Valadão,"Criar uma feira semanal de antiguidades e artesanatos locais aos sábados na Praça General Valadão, com apresentação de artistas locais.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"Desde outubro de 2021, duas edições da Feira da Alfândega já foram realizadas na Praça General Valadão, no centro da capital, com espaços para as artes visuais, plásticas, para costuras criativas, sustentabilidade, comercialização de antiguidades, produtos alimentares de origem orgânica e artesanato. A prefeitura diz que a feira será retomada a partir de janeiro de 2022.","https://www.aracaju.se.gov.br/noticias/92418/programacao_cultural_do_fim_de_semana_reune_musica,_teatro,_literatura_e_feira_de_antiguidades.html",14
esporte,Esporte,Criar Lei de Incentivo Municipal para apoio aos atletas,Criar Lei de Incentivo Municipal com captação de apoios junto às empresas para aprovação de projetos de apoio aos atletas.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A prefeitura diz que, após a posse, fez uma análise e descobriu que já existe um programa com propósito similar ao da promessa. Segundo a gestão, trata-se da lei municipal 4.092 de 2011, que institui o programa Bolsa Atleta em Aracaju. Por isso, a prefeitura afirma que a lei de 2011 já atende a demanda e que não há necessidade de criação de uma nova lei. A prefeitura diz ainda que aguarda uma melhora no contexto financeiro para efetivar a retomada do apoio aos atletas.",,15
esporte,Esporte,Criar a academia virtual,Oferecer para a população o serviço de 'academia virtual' por meio de aplicativo específico e canais nas redes sociais.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,A academia virtual não foi criada. A prefeitura diz que analisa a possibilidade de assinar um Termo de Cooperação Técnica com uma universidade particular para garantir a execução do projeto a partir de fevereiro de 2022.,,16
esporte,Esporte,Criar escolinha de habilidades esportivas para atender 2 mil crianças,"Desenvolver Projeto de Escolinhas de habilidades esportivas para várias modalidades, alcançando duas mil crianças entre 6 e 15 anos.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A escolinha de habilidades esportivas ainda não foi criada. A prefeitura diz que a previsão é que o projeto seja iniciado no segundo semestre de 2022. Segundo a prefeitura, após a aprovação pelo Ministério da Cidadania por meio da Lei de Incentivo ao Esporte, foi criada uma comissão de captação de eventos e projetos, que está apresentando o projeto para empresas que poderão se beneficiar da Lei de Incentivo.",,17
infraestrutura,Infraestrutura,Realizar a dragagem e evitar alagamentos no bairro Jabotiana,Melhorar a situação da região para evitar alagamentos.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A dragagem e as obras para evitar alagamentos no bairro Jabotiana ainda não foram feitas. Em agosto de 2021, o prefeito sancionou uma lei que autoriza o município a contratar operação de crédito, no valor de 84 milhões de dólares (o equivalente a R$ 478 milhões), junto ao Novo Banco do Desenvolvimento (NBD). Segundo a prefeitura, os recursos serão destinados, exclusivamente, para o programa ‘Cidade do Futuro’, que, entre os seus projetos, prevê a dragagem do Rio Poxim, que corta o Bairro Jabotiana. A contratação do empréstimo ainda precisa de autorizações federais, tanto junto à União quanto pelo Senado, para posterior assinatura do contrato e liberação dos recursos. Em paralelo, a prefeitura diz que já desenvolveu o diagnóstico da situação do rio e das intervenções urbanísticas necessárias para acabar com os alagamentos na região.",https://www.aracaju.se.gov.br/noticias/89831/prefeitura_de_aracaju_inicia_busca_de_recursos_para_zona_de_expansao_e_dragagem_do_rio_poxim.html,18
infraestrutura,Infraestrutura,Criar estações de tratamento de resíduos,"Criar estações de tratamento de resíduos, juntando geração distribuída com plantas com capacidade de até 5MW e destinação de resíduos, e ampliar os Ecopontos nas zonas municipais, associando a ampliação do serviço cata treco.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,em-parte,"Não foi criada nenhuma estação de tratamento, mas a prefeitura informou que deu continuidade à construção das Estações de Entrega Voluntária de Resíduos Sólidos, os Ecopontos, na cidade. A estação do Ponto Novos foi entregue em novembro de 2021. Uma estação no Bairro Inácio Barbosa também foi inaugurada em 17 de dezembro. Além disso, estão em processo licitatório mais três unidades que serão erguidas nos bairros Orlando Dantas, Sol Nascente e Porto Dantas, com previsão para início das obras em 2022. Também estão em fase de elaboração de projetos os ecopontos dos bairros Farolândia, Jardim Centenário e 18 do Forte. ",https://www.aracaju.se.gov.br/noticias/93187/prefeito_edvaldo_inaugura_ecoponto_do_bairro_ponto_novo.html,19
infraestrutura,Infraestrutura,Reformar os corredores do eixo leste-oeste,"A reforma tem como foco três vias: Avenidas Visconde de Maracaju, Maranhão e Tancredo Neves. ",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"Os corredores do eixo leste-oeste ainda não foram reformados. Em agosto de 2021, foi sancionada a lei que autoriza o município a contratar operação de crédito, no valor de 84 milhões de dólares (o equivalente a R$ 478 milhões), junto ao Novo Banco do Desenvolvimento (NBD). Os recursos serão destinados, exclusivamente, para o programa 'Cidade do Futuro', que, entre os seus projetos, prevê a reforma dos corredores do eixo leste-oeste (avenidas Visconde de Maracaju, Maranhão e Tancredo Neves). O projeto ainda não tem previsão de execução.",,20
infraestrutura,Infraestrutura,Implantar conexão de wi-fi em locais públicos da cidade,"Implantar a conexão de Wi-Fi  nas três orlas (Atalaia/Pôr do Sol/Bairro Industrial), 13 de julho, todos os terminais de ônibus, e algumas praças.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"Ainda não há conexão de wi-fi em locais públicos da cidade. A prefeitura diz, porém, que o projeto está pronto apesar de ainda não ter sido implantado. A gestão afirma que o projeto foi construído em parceria com o Banco Interamericano do Desenvolvimento (BID), que vai priorizar as localidades que estão recebendo obras com recursos do banco e em regiões com população mais vulnerável, além dos parques, terminais e orlas. A modalidade de contrato que a prefeitura irá ofertar será o de credenciamento das empresas, como forma de desonerar o município. Inicialmente serão 20 pontos beneficiados. A previsão é que o credenciamento seja aberto na primeira semana de fevereiro de 2022.",,21
infraestrutura,Infraestrutura,Implementar o programa 'Adote uma praça',"O objetivo é despertar a cultura de colaboração da comunidade junto à gestão pública atual para que se mantenha a vitalidade das áreas verdes, em especial as praças, integrando empresas, cidadãos e as comunidades.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,O programa 'Adote uma praça' ainda não foi implementado. A primeira praça a ser adotada pela iniciativa privada deve ficar localizada no Bairro Cidade Nova e terá como responsável a TV Sergipe. Isso deve ocorrer no começo de 2022.,,22
meio-ambiente,Meio ambiente,Implantar Centro de Eventos Climáticos Adversos,"Ampliar a ferramenta ClimAJU com a implantação de um Centro de Monitoramento de Eventos Climáticos Adversos, com banco de dados e ferramentas que permitam uma previsão do tempo mais precisa.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"O Centro de Eventos Climáticos Adversos ainda não foi implantado. No primeiro ano do mandato, em 2021, foram realizadas reuniões sobre a aquisição das ferramentas para implantação do centro, pesquisa de mercado e elaboração de um termo de referência, com as especificações dos produtos e serviços que atenderão a demanda. A licitação para implantar o centro está prevista para o orçamento de 2022, quando ele deverá ser efetivamente implantado.",,23
meio-ambiente,Meio ambiente,Implantar a Agenda Ambiental da Administração Pública (A3P),"Essa agenda de sustentabilidade deve ser implantada nos prédios públicos. A agenda inclui tornar os prédios públicos verdes, reutilizar a água, viabilizar o uso de energia solar nos equipamentos públicos municipais e uso de energia limpa na frota.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"A Agenda Ambiental da Administração Pública (A3P) foi implantada no primeiro ano do mandato, em 2021. A prefeitura adotou práticas como a implantação do AjuInteligente. É um sistema que engloba serviços de todos os órgãos e secretarias municipais e leva à economia de papel, poupando 150 árvores e 11,5 milhões de litros de água por mês. Além disso, foram adotadas as seguintes mudanças na rotina: coleta seletiva de lixo, oferta de bicicletário, reutilização da água dos aparelhos de ar condicionados, redução do uso de copos plásticos, utilização de lâmpadas de LED, bem como a realização de uma série de palestras voltadas para os servidores no sentido de conscientizar e mobilizar.","https://www.aracaju.se.gov.br/noticias/91543/com_agenda_sustentavel,_prefeitura_economiza_recursos_e_moderniza_a_gestao.html",24
mobilidade-urbana,Mobilidade urbana,Realizar a licitação do transporte público,"A licitação do transporte público deve ser realizada juntamente com os demais entes que compõem o consórcio: governo do estado e prefeituras de Nossa Senhora do Socorro, São Cristóvão e Barra dos Coqueiros. Isso prevendo mecanismos para ampliação da segurança, higiene e conforto aos usuários.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,Não foi feita a licitação do transporte público. A prefeitura diz que as reuniões do grupo de formatação do consórcio intermunicipal ficaram suspensas em decorrência da pandemia. A gestão afirma que o planejamento é que novas reuniões sejam realizadas para efetivar a criação do consórcio em 2022 e lançar a licitação até o fim de 2022.,,25
mobilidade-urbana,Mobilidade urbana,Ampliar a utilização de semáforos inteligentes,"Melhorar a sinalização de trânsito e avançar na implantação de semáforos inteligentes. Atualmente a capital possui 150 cruzamentos ou ruas, na sua maioria com quatro semáforos cada.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"O número de semáforos inteligentes ainda não foi ampliado. A prefeitura diz que os 150 semáforos inteligentes, que já existiam antes do início do atual mandato, atendem satisfatoriamente às necessidades do município. A gestão afirma ainda que está construindo a Central de Trânsito, que dará condições de efetivar o sistema de semaforização inteligente e permitirá mudanças remotas para a melhora do fluxo do trânsito nos corredores do transporte público.",https://www.aracaju.se.gov.br/noticias/90605/semaforos_inteligentes_garantem_melhoria_na_mobilidade_urbana_de_aracaju.html,26
saude,Saúde,Finalizar a construção da maternidade,Ofertar uma maternidade para a população de Aracaju.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A maternidade do Bairro 17 de Março está em fase final de construção, com mais de 92% de sua parte física construída e previsão de entrega no primeiro trimestre de 2022, de acordo com a prefeitura. Para execução da obra, a gestão municipal investiu R$ 18 milhões. Quando estiver em funcionamento, o local vai ter capacidade para a realização de cerca de 500 partos por mês. O espaço conta ainda com 10 leitos de UTIs neonatal; 10 leitos de Unidade de Cuidado Intermediário Neonatal Convencional (UCINCo); 5 leitos de Unidade de Cuidado Intermediário Neonatal Canguru (UCINCa); 8 alojamentos pré parto, parto e pós-parto (PPP); 3 leitos com banheiras para parto humanizado; 50 alojamentos conjuntos para mãe e criança; 2 salas cirúrgicas; 3 leitos de cuidados intermediários; 2 leitos de estabilização; 9 leitos de aplicação de medicação e observação. Além disso, o projeto prevê uma área de vivência para as mães e um banco de leite humano.","https://www.aracaju.se.gov.br/noticias/91208/a_maternidade_sera_o_maior_complexo_de_saude_materno-infantil_de_aracaju,_diz_prefeito.html",27
saude,Saúde,Criar um centro de imagem e um laboratório no Hospital Zona Sul,Melhorar o atendimento do Hospital Zona Sul com a criação de um centro de imagem e um laboratório.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,O centro de imagem e o laboratório no Hospital Zona Sul ainda não foram criados. A prefeitura diz que o projeto está em fase de planejamento.,,28
saude,Saúde,Implantar unidade de referência em psicologia e psiquiatria,"O E-Mente será uma unidade de referência em psicologia e psiquiatria para pacientes suicidas, automutilação, acumuladores etc.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A unidade de referência em psicologia e psiquiatria ainda não foi implantada. A prefeitura diz que um financiamento junto ao Banco Interamericano de Desenvolvimento (BID) foi aprovado. O processo está em fase de regularização da escritura do terreno para início dos projetos arquitetônicos e de construção, segundo a administração municipal.",,29
saude,Saúde,"Construir um complexo no Augusto Franco com especialidades odontológicas, Unidade Básica de Saúde (Antonio Alves) e Academia da Cidade","Ofertar especialidades odontológicas, serviços de sáude e academia.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,A instalação do Centro Odontológico ainda não foi realizada. Já a oferta de serviços por meio da instalação da Unidade Básica de Saúde (Antonio Alves) e da Academia da Cidade estão em fase de planejamento.,,30
saude,Saúde,Implantar programa de atenção domiciliar,"O objetivo é prevenir e tratar doenças em domicílio, integrando as redes de atenção à saúde por meio da estratégia de saúde da família.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"O Serviço de Atendimento Domiciliar (SAD) foi implantado em janeiro de 2021. O programa tem equipes multidisciplinares para realizar visitas domiciliares aos pacientes, que vêm, em sua maioria, da rede de urgência do município (hospitais municipais Fernando Franco e Nestor Piva e os leitos de retaguarda do Hospital Santa Izabel). Desde agosto de 2021, com a ampliação gradativa do serviço, todas as 45 Unidades Básicas de Saúde (UBSs) também passaram a encaminhar solicitações para esse tipo de atendimento. De janeiro de 2021, quando o serviço foi criado, até a primeira quinzena de dezembro de 2021, 165 solicitações foram recebidas, sendo 117 aceitas. Desse total, 67 pacientes seguem acompanhados pelo serviço, 39 pacientes já receberam alta médica e 11 morreram. Além disso, ao longo de 2021 a prefeitura realizou ações diversas de prevenção na área da saúde, como o Outubro Rosa, que alerta mulheres sobre a importância de fazer exames.",https://www.aracaju.se.gov.br/noticias/92891/servico_de_atendimento_domiciliar_garante_mais_qualidade_de_vida_a_usuarios_do_sus_aracaju.html,31
saude,Saúde,Implantar uma Clínica de Saúde Veterinária,Ofertar serviço veterinário com consultas básicas e vacinação.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A clínica ainda não foi criada. A previsão é que as propostas sobre o tema sejam definidas em 2022. A prefeitura diz que analisa as visitas técnicas realizadas em 2021 em Curitiba (que não montou uma clínica, mas possui parcerias para atendimento) e Fortaleza (que abriu uma clínica) para conhecer a viabilidade das soluções aplicadas pelos municípios.",,32
saude,Saúde,Criar uma casa de acolhimento temporário para animais,Ofertar uma casa de acolhimento temporário para animais recolhidos e dispostos para posterior adoção.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A casa de acolhimento temporário para animais ainda não foi implantada. A prefeitura diz, porém, que já consolidou dois projetos estratégicos (um em relação à saúde animal e outra coibindo maus tratos), que devem passar por um processo de validação e apresentação à população nos primeiros meses de 2022.",,33
